City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Airai,-8.9266,125.4092,scattered clouds,55.78,85,28,2.77,TL,2021-08-01 18:58:47
60,Toppenish,46.3774,-120.3087,overcast clouds,90.36,57,100,1.34,US,2021-08-01 19:04:05
61,Tuktoyaktuk,69.4541,-133.0374,broken clouds,71.6,56,75,17.27,CA,2021-08-01 18:58:19
62,Nkhotakota,-12.9274,34.2961,overcast clouds,69.89,62,91,4.74,MW,2021-08-01 19:04:13
63,General Roca,-39.0333,-67.5833,clear sky,62.91,33,0,13.71,AR,2021-08-01 19:04:13
64,Victoria,22.2855,114.1577,overcast clouds,85.32,88,99,1.99,HK,2021-08-01 18:59:44
65,Cape Town,-33.9258,18.4232,clear sky,58.12,75,0,1.01,ZA,2021-08-01 18:54:56
66,Saint-Philippe,-21.3585,55.7679,scattered clouds,69.35,75,43,11.83,RE,2021-08-01 18:58:26
67,Norman Wells,65.282,-126.8329,clear sky,77.04,41,1,6.91,CA,2021-08-01 18:58:26
68,Terrace,54.5163,-128.6035,scattered clouds,79.07,62,33,1.77,CA,2021-08-01 19:00:28
69,Riyadh,24.6877,46.7219,clear sky,98.55,9,3,5.03,SA,2021-08-01 19:01:07
70,Ahipara,-35.1667,173.1667,broken clouds,55.02,88,71,7.72,NZ,2021-08-01 18:59:38
71,Castro,-24.7911,-50.0119,broken clouds,57.2,63,69,4.07,BR,2021-08-01 18:55:36
72,Pasinler,39.9803,41.6764,overcast clouds,67.19,64,100,2.8,TR,2021-08-01 19:04:14
73,Kargasok,59.0556,80.8572,few clouds,51.71,87,24,5.44,RU,2021-08-01 19:04:15
74,Tasiilaq,65.6145,-37.6368,clear sky,43.75,80,3,6.15,GL,2021-08-01 18:59:02
75,Leeton,-34.5667,146.4,clear sky,40.08,86,1,5.14,AU,2021-08-01 19:04:15
76,Butaritari,3.0707,172.7902,few clouds,82.99,69,16,10.02,KI,2021-08-01 18:58:11
77,East London,-33.0153,27.9116,clear sky,56.34,88,0,4.61,ZA,2021-08-01 18:59:07
